"X2001_hop_L_01.c3d.11","X2002_hop_L_01.c3d.11","X2004_hop_L_01.c3d.11","X2005_hop_L_01.c3d.11","X2006_hop_L_01.c3d.11","X2007_hop_L_01.c3d.11","X2008_hop_L_01.c3d.11","X2009_hop_L_01.c3d.11","X2010_hop_L_01.c3d.11","X2011_hop_L_01.c3d.11","X2012_hop_L_01.c3d.11","X2013_hop_L_01.c3d.11","X2014_hop_L_01.c3d.11","X2015_hop_L_01.c3d.11","X2016_hop_L_01.c3d.11","X2017_hop_L_01.c3d.11","X2018_hop_L_01.c3d.11","X2019_hop_L_01.c3d.11","X2020_hop_L_01.c3d.11","X2021_hop_L_01.c3d.11","X2022_hop_L_01.c3d.11","X2023_hop_L_01.c3d.11","X2024_hop_L_01.c3d.11","X2025_hop_L_01.c3d.11","X2026_hop_L_01.c3d.11","X2027_hop_R_01.c3d.11","X2028_hop_L_01.c3d.11","X2029_hop_L_01.c3d.11","X2030_hop_L_01.c3d.11","X2031_hop_L_01.c3d.11","X2032_hop_L_01.c3d.11","X2034_hop_L_01.c3d.11"
14.728765,30.116669,19.792913,10.247237,16.779921,10.498694,5.227117,23.432236,9.030615,25.253208,18.610828,14.529148,30.400188,18.086674,21.190285,17.847876,17.112858,12.945095,15.023462,23.399614,58.933575,18.082209,16.908085,10.968658,31.497484,28.27854,19.063093,13.695354,18.079632,9.634286,16.616976,23.824947
15.216442,30.178858,19.972996,10.51265,17.017567,10.756629,5.240613,23.348948,8.712905,25.270378,18.70466,14.663739,30.725603,17.744049,21.011072,17.741142,17.051664,12.911858,15.5354,23.362083,59.092087,18.188251,17.069248,11.440419,31.644712,30.22521,19.336496,14.067522,18.065126,9.728252,16.651699,23.530521
15.864341,30.260229,20.144135,10.835241,17.23399,11.035509,5.240695,23.284437,8.454581,25.326809,18.820847,14.815004,31.096193,17.388325,20.887781,17.631718,16.997074,12.861078,16.111561,23.291029,59.275677,18.343246,17.274538,11.965743,31.850811,31.497524,19.679121,14.443619,18.055147,9.772544,16.68322,23.184652
16.660585,30.351753,20.312101,11.203012,17.398571,11.316031,5.224558,23.261925,8.326636,25.416845,18.954245,14.978847,31.518677,17.060579,20.842524,17.523554,16.955593,12.794292,16.703199,23.209364,59.447071,18.558846,17.5273,12.505572,32.10183,32.218067,20.063824,14.793706,18.06028,9.778598,16.697855,22.782217
17.519859,30.432945,20.473366,11.578114,17.509012,11.582723,5.188713,23.285704,8.354256,25.512646,19.08523,15.142547,32.001602,16.79026,20.857742,17.41993,16.925022,12.716038,17.256947,23.158421,59.56852,18.816002,17.81542,13.039382,32.358864,32.740974,20.446712,15.100643,18.095757,9.78303,16.687901,22.319017
18.350304,30.484182,20.551645,11.919456,17.592741,11.828129,5.133512,23.341656,8.538436,25.600592,19.190876,15.286538,32.541191,16.58461,20.910769,17.325241,16.910889,12.62567,17.746164,23.154192,59.622448,19.069456,18.120113,13.590139,32.586842,33.259686,20.804289,15.357611,18.171101,9.78454,16.658165,21.78826
19.1231,30.496376,20.249857,12.199283,17.689388,12.039615,5.069286,23.412373,8.865052,25.696564,19.259569,15.394404,33.116993,16.428833,20.984003,17.24696,16.937412,12.519922,18.181271,23.187767,59.617798,19.271322,18.427708,14.206569,32.774868,33.848911,21.137787,15.562675,18.278166,9.60116,16.621145,21.183084
19.868011,30.475956,19.574154,12.399367,17.821987,12.202831,5.016016,23.491209,9.315763,25.825487,19.296547,15.469044,33.701786,16.30658,21.060211,17.196581,17.042238,12.401237,18.589941,23.235657,59.582928,19.397182,18.734873,14.930538,32.935215,34.533455,21.464354,15.719357,18.392635,9.186011,16.584871,20.502981
20.623566,30.440065,19.241053,12.508896,17.993311,12.316776,4.988829,23.582855,9.874166,25.998543,19.322666,15.537334,34.275291,16.215694,21.124653,17.186298,17.251429,12.280735,18.988981,23.268349,59.536102,19.457466,19.040466,15.775046,33.082893,35.315567,21.807878,15.841549,18.485041,8.992779,16.544609,19.753654
21.397444,30.40451,19.066301,12.534501,18.197266,12.393342,4.986153,23.692537,10.504995,26.217487,19.367966,15.634346,34.835567,16.161951,21.171835,17.22418,17.559196,12.167293,19.388292,23.265388,59.465244,19.491348,19.338701,16.719875,33.22578,36.185223,22.185825,15.954907,18.535799,8.903696,16.49226,18.951565
