"X231_hop_R_01.c3d.11","X238_hop_R_01.c3d.11","X250_hop_R_01.c3d.11","X253_hop_R_01.c3d.11","X263_Hop_L_01.c3d.11","X278_hop_R_01.c3d.11","X281_hop_R_01.c3d.11","X283_Hop_L_01.c3d.11","X285_Hop_R_01.c3d.11","X286_hop_L_01.c3d.11","X300_hop_R_01.c3d.11","X302_hop_L_01.c3d.11","X305_hop_R_01.c3d.11","X306_hop_L_01.c3d.11","X309_hop_L_01.c3d.11","X310_hop_R_01.c3d.11","X312_hop_R_01.c3d.11","X318_hop_R_01.c3d.11","X321_hop_R_01.c3d.11","X326_hop_L_01.c3d.11","X328_hop_R_01.c3d.11","X337_hop_R_01.c3d.11","X340_hop_L_01.c3d.11","X341_hop_R_01.c3d.11","X342_hop_L_01.c3d.11","X343_Hop_L_01.c3d.11","X346_Hop_R_01.c3d.11","X354_hop_R_01.c3d.11","X361_hop_R_01.c3d.11","X368_hop_R_01.c3d.11","X399_hop_R_01.c3d.11","X402_hop_R_01.c3d.11","X004_hop_L_01.c3d.11","X008_hop_R_01.c3d.11","X009_Hop_L_01.c3d.11","X012_hop_L_01.c3d.11","X015_Hop_R_01.c3d.11","X016_Hop_R_01.c3d.11","X017_hop_L_01.c3d.11","X018_hop_R_01.c3d.11","X019_hop_L_01.c3d.11","X021_Hop_L_01.c3d.11","X027_hop_R_01.c3d.11","X028_Hop_L_01.c3d.11","X033_hop_R_01.c3d.11","X035_Hop_R_01.c3d.11","X036_Hop_L_01.c3d.11","X037_hop_R_01.c3d.11","X049_hop_R_01.c3d.11","X052_Hop_R_01.c3d.11","X053_hop_L_01.c3d.11","X068_hop_R_01.c3d.11","X070_hop_R_01.c3d.11","X073_hop_R_01.c3d.11","X075_hop_L_01.c3d.11","X080_hop_L_01.c3d.11","X086_Hop_R_01.c3d.11","X092_hop_R_01.c3d.11","X100_hop_R_01.c3d.11","X103_hop_R_01.c3d.11","X111_hop_L_01.c3d.11","X118_hop_R_01.c3d.11","X119_hop_R_01.c3d.11","X128_hop_R_01.c3d.11","X130_Hop_L_01.c3d.11","X149_hop_R_01.c3d.11","X155_hop_R_01.c3d.11","X329_hop_L_01.c3d.11","X2001_hop_L_01.c3d.11","X2002_hop_L_01.c3d.11","X2004_hop_L_01.c3d.11","X2005_hop_L_01.c3d.11","X2006_hop_L_01.c3d.11","X2007_hop_L_01.c3d.11","X2008_hop_L_01.c3d.11","X2009_hop_L_01.c3d.11","X2010_hop_L_01.c3d.11","X2011_hop_L_01.c3d.11","X2012_hop_L_01.c3d.11","X2013_hop_L_01.c3d.11","X2014_hop_L_01.c3d.11","X2015_hop_L_01.c3d.11","X2016_hop_L_01.c3d.11","X2017_hop_L_01.c3d.11","X2018_hop_L_01.c3d.11","X2019_hop_L_01.c3d.11","X2020_hop_L_01.c3d.11","X2021_hop_L_01.c3d.11","X2022_hop_L_01.c3d.11","X2023_hop_L_01.c3d.11","X2024_hop_L_01.c3d.11","X2025_hop_L_01.c3d.11","X2026_hop_L_01.c3d.11","X2027_hop_R_01.c3d.11","X2028_hop_L_01.c3d.11","X2029_hop_L_01.c3d.11","X2030_hop_L_01.c3d.11","X2031_hop_L_01.c3d.11","X2032_hop_L_01.c3d.11","X2034_hop_L_01.c3d.11"
16.641891,17.213333,16.583834,17.682316,13.028842,30.723555,33.945389,25.342237,22.388117,33.285213,29.905975,32.03965,17.353456,17.867287,22.513657,5.784822,10.465892,16.655336,11.93972,15.694637,18.441328,6.047672,17.079962,5.938784,18.761261,28.571062,20.863331,12.525599,11.174155,12.550681,6.649862,40.933807,13.931958,17.803173,13.085546,23.906906,17.25091,26.752377,9.575655,10.482844,24.047121,33.444004,33.050049,9.141728,4.657141,11.866915,11.19741,16.13308,8.251756,16.523611,9.294415,25.859959,18.107761,41.460426,34.238476,13.840393,30.095575,7.398735,24.819916,10.951837,9.082942,17.015928,13.213116,19.128141,0.799849,31.405455,9.287166,8.022938,14.728765,30.116669,19.792913,10.247237,16.779921,10.498694,5.227117,23.432236,9.030615,25.253208,18.610828,14.529148,30.400188,18.086674,21.190285,17.847876,17.112858,12.945095,15.023462,23.399614,58.933575,18.082209,16.908085,10.968658,31.497484,28.27854,19.063093,13.695354,18.079632,9.634286,16.616976,23.824947
16.637972,17.290684,16.614241,17.719387,13.060751,30.736387,33.927803,25.285236,22.422398,33.353237,29.895565,32.060375,17.452198,17.834242,22.498999,5.777161,10.511041,16.682447,11.940567,15.696431,18.358389,6.066228,17.128765,5.997301,18.818962,28.673115,20.879717,12.542202,11.202345,12.511759,6.772569,41.053207,13.930224,17.878275,13.141869,23.874031,17.247049,26.701775,9.577736,10.493423,24.022518,33.507008,33.110458,9.155954,4.71359,11.87903,11.190811,16.185452,8.350605,16.517147,9.28901,25.928501,18.213217,41.536705,34.119629,13.823438,30.119938,7.442801,24.903053,10.973765,9.095484,16.97213,13.214149,19.291973,0.858726,31.426378,9.356195,8.073277,14.83797,30.130514,19.837545,10.30876,16.838425,10.560312,5.231856,23.411335,8.952584,25.255245,18.632502,14.561266,30.477032,18.005098,21.144058,17.821888,17.098114,12.938063,15.143274,23.392578,58.969334,18.105652,16.94495,11.07942,31.529446,28.796846,19.12505,13.785905,18.075939,9.660458,16.625053,23.755945
16.633018,17.371984,16.645212,17.756447,13.095552,30.750423,33.90958,25.226681,22.459049,33.425945,29.883736,32.082691,17.553591,17.800812,22.48558,5.769111,10.555137,16.71043,11.94136,15.697711,18.274109,6.083215,17.180738,6.055655,18.878696,28.779215,20.895971,12.559987,11.230569,12.471514,6.895811,41.175068,13.926888,17.95722,13.200056,23.841022,17.243109,26.651585,9.580293,10.506322,23.995255,33.572617,33.172348,9.170069,4.771628,11.889862,11.184127,16.239395,8.454494,16.509554,9.283634,26.0005,18.32239,41.615311,33.996563,13.80535,30.147196,7.486932,24.985651,10.996969,9.107826,16.927143,13.213528,19.462015,0.917976,31.446646,9.42927,8.123634,14.955095,30.145439,19.883032,10.373348,16.89826,10.62403,5.235604,23.390135,8.871844,25.258322,18.65527,14.594395,30.557091,17.920103,21.097744,17.795301,17.082659,12.930297,15.269017,23.38435,59.00795,18.13081,16.983963,11.195472,31.564411,29.306376,19.191147,13.878611,18.072241,9.685608,16.633739,23.68384
16.62727,17.456881,16.676275,17.792051,13.133563,30.765636,33.890762,25.167522,22.498316,33.503292,29.870369,32.106743,17.656958,17.768064,22.474442,5.761739,10.596369,16.74017,11.942274,15.698748,18.191093,6.097302,17.236227,6.111778,18.940367,28.887842,20.912008,12.579071,11.258893,12.431046,7.016133,41.29668,13.921872,18.040081,13.259381,23.809021,17.239265,26.603468,9.583883,10.522017,23.965244,33.640106,33.235455,9.184092,4.832682,11.899696,11.177765,16.29496,8.563043,16.50104,9.278135,26.075577,18.434311,41.69413,33.87104,13.786442,30.17798,7.53024,25.064848,11.021772,9.119723,16.881531,13.211413,19.636171,0.977255,31.464743,9.506462,8.172742,15.080946,30.161528,19.928368,10.441226,16.958284,10.689546,5.238504,23.369171,8.791193,25.263174,18.679276,14.628543,30.639992,17.8328,21.052971,17.768335,17.067038,12.921613,15.399909,23.374327,59.048992,18.158176,17.025312,11.316,31.602724,29.786961,19.261564,13.972693,18.068609,9.708488,16.64271,23.608721
16.620953,17.545189,16.707048,17.824986,13.17519,30.782028,33.871441,25.10869,22.540586,33.585361,29.855431,32.132591,17.761808,17.736963,22.466438,5.755985,10.633536,16.772486,11.94346,15.699781,18.111475,6.107445,17.295588,6.164059,19.00395,28.997908,20.927761,12.59962,11.287364,12.391283,7.130697,41.416214,13.91509,18.126959,13.319305,23.778994,17.235678,26.558851,9.589048,10.540745,23.932619,33.7089,33.299564,9.198013,4.898026,11.908713,11.171873,16.352188,8.676087,16.491772,9.272495,26.153538,18.548309,41.771339,33.744473,13.766993,30.213051,7.571953,25.138369,11.048512,9.130905,16.835712,13.207993,19.812862,1.036289,31.479425,9.587904,8.219584,15.216442,30.178858,19.972996,10.51265,17.017567,10.756629,5.240613,23.348948,8.712905,25.270378,18.70466,14.663739,30.725603,17.744049,21.011072,17.741142,17.051664,12.911858,15.5354,23.362083,59.092087,18.188251,17.069248,11.440419,31.644712,30.22521,19.336496,14.067522,18.065126,9.728252,16.651699,23.530521
16.614319,17.636763,16.737232,17.85428,13.220826,30.79957,33.851765,25.051142,22.586325,33.672199,29.839031,32.160149,17.86775,17.708384,22.462181,5.752666,10.666142,16.808107,11.945027,15.701042,18.036903,6.112967,17.359072,6.211396,19.069424,29.10866,20.94318,12.621806,11.31601,12.353016,7.237337,41.532669,13.906514,18.217836,13.379431,23.751715,17.232487,26.518881,9.596291,10.562396,23.897852,33.778469,33.364468,9.211788,4.968708,11.917027,11.166319,16.411045,8.793513,16.481911,9.266838,26.234259,18.663895,41.845379,33.618069,13.747298,30.253191,7.61143,25.204609,11.07749,9.141086,16.790007,13.203531,19.990831,1.094863,31.489773,9.673639,8.263433,15.362323,30.197466,20.016745,10.587802,17.075346,10.825051,5.241932,23.329933,8.638803,25.280298,18.731518,14.700008,30.813927,17.654579,20.973057,17.713825,17.036833,12.900932,15.674972,23.347433,59.136829,18.221487,17.116001,11.568202,31.690584,30.614532,19.415995,14.162537,18.061899,9.744474,16.660465,23.449123
16.607658,17.731419,16.766592,17.879206,13.270806,30.81819,33.831982,24.995874,22.636019,33.763744,29.821442,32.189137,17.974453,17.683096,22.462015,5.752483,10.69435,16.847647,11.94705,15.70276,17.968536,6.113597,17.426767,6.253166,19.136744,29.219589,20.958244,12.645787,11.344838,12.316911,7.334553,41.64576,13.896206,18.31251,13.439467,23.727777,17.22982,26.48443,9.606072,10.586503,23.861795,33.848293,33.429928,9.225346,5.045532,11.924712,11.160699,16.471405,8.915161,16.471638,9.261433,26.317631,18.780685,41.914875,33.49292,13.727695,30.299141,7.648163,25.262642,11.108943,9.149966,16.744646,13.198399,20.169041,1.152814,31.495193,9.763564,8.30383,15.518991,30.217318,20.0597,10.666722,17.130999,10.89455,5.242424,23.312578,8.570333,25.293077,18.759876,14.737344,30.905045,17.56505,20.939613,17.686451,17.022734,12.888802,15.818023,23.33045,59.182743,18.258245,17.165751,11.698779,31.74036,30.953945,19.499889,14.257214,18.059053,9.757092,16.668783,23.364405
16.601297,17.828915,16.794958,17.899267,13.325382,30.837746,33.81242,24.94392,22.690138,33.859802,29.803057,32.219124,18.081606,17.66177,22.466047,5.756021,10.71885,16.891592,11.949548,15.705172,17.907076,6.109437,17.498585,6.289162,19.205822,29.330387,20.972954,12.671689,11.373842,12.283509,7.421471,41.755703,13.884321,18.410563,13.499208,23.707603,17.227791,26.45611,9.618807,10.612288,23.825634,33.917839,33.495701,9.23859,5.12905,11.931819,11.15438,16.533041,9.0408,16.461149,9.25668,26.403551,18.898361,41.978634,33.370029,13.708573,30.351522,7.681784,25.312162,11.143027,9.157247,16.699793,13.193039,20.346617,1.21002,31.495388,9.857423,8.340579,15.686459,30.2383,20.102081,10.749294,17.184017,10.964816,5.242034,23.297291,8.50863,25.308659,18.789692,14.775702,30.999083,17.476093,20.911137,17.659067,17.009468,12.875494,15.963832,23.311468,59.229244,18.298784,17.21859,11.831517,31.79388,31.246464,19.587791,14.35106,18.056746,9.766317,16.676439,23.276272
16.595585,17.928946,16.82222,17.914169,13.384735,30.858034,33.793491,24.896286,22.7491,33.96006,29.784342,32.249542,18.188917,17.644936,22.474186,5.763755,10.740671,16.940296,11.952477,15.708524,17.852798,6.10091,17.57427,6.319512,19.276539,29.440893,20.987322,12.699601,11.403008,12.25322,7.497768,41.863029,13.87111,18.511404,13.558523,23.691465,17.226496,26.434303,9.634862,10.638769,23.790794,33.986557,33.561512,9.251411,5.219576,11.938386,11.146555,16.59564,9.170135,16.450657,9.2531,26.491928,19.01663,42.035618,33.250324,13.690366,30.410805,7.712059,25.353418,11.179809,9.162637,16.655554,13.187937,20.522833,1.266391,31.490303,9.954838,8.373699,15.864341,30.260229,20.144135,10.835241,17.23399,11.035509,5.240695,23.284437,8.454581,25.326809,18.820847,14.815004,31.096193,17.388325,20.887781,17.631718,16.997074,12.861078,16.111561,23.291029,59.275677,18.343246,17.274538,11.965743,31.850811,31.497524,19.679121,14.443619,18.055147,9.772544,16.68322,23.184652
16.590874,18.031168,16.848328,17.923811,13.448986,30.878788,33.775654,24.853899,22.813236,34.064148,29.76576,32.279743,18.296099,17.632977,22.486189,5.77605,10.76098,16.993982,11.955721,15.713067,17.805614,6.088689,17.653421,6.344584,19.348747,29.551077,21.001366,12.729589,11.432318,12.226306,7.563585,41.968338,13.856899,18.614305,13.61735,23.679499,17.226013,26.419203,9.654556,10.664882,23.75882,34.053894,33.627102,9.26369,5.317187,11.944448,11.136323,16.658812,9.302831,16.44038,9.251314,26.582703,19.135242,42.084953,33.134644,13.673537,30.477253,7.738879,25.387112,11.219255,9.16588,16.611971,13.18356,20.697119,1.321867,31.480078,10.05536,8.403385,16.051897,30.282854,20.186077,10.92415,17.280598,11.106282,5.238341,23.274311,8.40888,25.347172,18.853153,14.855137,31.196539,17.302347,20.869492,17.604445,16.985542,12.845652,16.260296,23.269831,59.32135,18.391651,17.333536,12.100789,31.910677,31.713686,19.773165,14.534483,18.054464,9.776287,16.688925,23.089489
