"X231_hop_R_01.c3d.11","X238_hop_R_01.c3d.11","X250_hop_R_01.c3d.11","X253_hop_R_01.c3d.11","X263_Hop_L_01.c3d.11","X278_hop_R_01.c3d.11","X281_hop_R_01.c3d.11","X283_Hop_L_01.c3d.11","X285_Hop_R_01.c3d.11","X286_hop_L_01.c3d.11","X300_hop_R_01.c3d.11","X302_hop_L_01.c3d.11","X305_hop_R_01.c3d.11","X306_hop_L_01.c3d.11","X309_hop_L_01.c3d.11","X310_hop_R_01.c3d.11","X312_hop_R_01.c3d.11","X318_hop_R_01.c3d.11","X321_hop_R_01.c3d.11","X326_hop_L_01.c3d.11","X328_hop_R_01.c3d.11","X337_hop_R_01.c3d.11","X340_hop_L_01.c3d.11","X341_hop_R_01.c3d.11","X342_hop_L_01.c3d.11","X343_Hop_L_01.c3d.11","X346_Hop_R_01.c3d.11","X354_hop_R_01.c3d.11","X361_hop_R_01.c3d.11","X368_hop_R_01.c3d.11","X399_hop_R_01.c3d.11","X402_hop_R_01.c3d.11","X004_hop_L_01.c3d.11","X008_hop_R_01.c3d.11","X009_Hop_L_01.c3d.11","X012_hop_L_01.c3d.11","X015_Hop_R_01.c3d.11","X016_Hop_R_01.c3d.11","X017_hop_L_01.c3d.11","X018_hop_R_01.c3d.11","X019_hop_L_01.c3d.11","X021_Hop_L_01.c3d.11","X027_hop_R_01.c3d.11","X028_Hop_L_01.c3d.11","X033_hop_R_01.c3d.11","X035_Hop_R_01.c3d.11","X036_Hop_L_01.c3d.11","X037_hop_R_01.c3d.11","X049_hop_R_01.c3d.11","X052_Hop_R_01.c3d.11","X053_hop_L_01.c3d.11","X068_hop_R_01.c3d.11","X070_hop_R_01.c3d.11","X073_hop_R_01.c3d.11","X075_hop_L_01.c3d.11","X080_hop_L_01.c3d.11","X086_Hop_R_01.c3d.11","X092_hop_R_01.c3d.11","X100_hop_R_01.c3d.11","X103_hop_R_01.c3d.11","X111_hop_L_01.c3d.11","X118_hop_R_01.c3d.11","X119_hop_R_01.c3d.11","X128_hop_R_01.c3d.11","X130_Hop_L_01.c3d.11","X149_hop_R_01.c3d.11","X155_hop_R_01.c3d.11","X329_hop_L_01.c3d.11","X2001_hop_L_01.c3d.11","X2002_hop_L_01.c3d.11","X2004_hop_L_01.c3d.11","X2005_hop_L_01.c3d.11","X2006_hop_L_01.c3d.11","X2007_hop_L_01.c3d.11","X2008_hop_L_01.c3d.11","X2009_hop_L_01.c3d.11","X2010_hop_L_01.c3d.11","X2011_hop_L_01.c3d.11","X2012_hop_L_01.c3d.11","X2013_hop_L_01.c3d.11","X2014_hop_L_01.c3d.11","X2015_hop_L_01.c3d.11","X2016_hop_L_01.c3d.11","X2017_hop_L_01.c3d.11","X2018_hop_L_01.c3d.11","X2019_hop_L_01.c3d.11","X2020_hop_L_01.c3d.11","X2021_hop_L_01.c3d.11","X2022_hop_L_01.c3d.11","X2023_hop_L_01.c3d.11","X2024_hop_L_01.c3d.11","X2025_hop_L_01.c3d.11","X2026_hop_L_01.c3d.11","X2027_hop_R_01.c3d.11","X2028_hop_L_01.c3d.11","X2029_hop_L_01.c3d.11","X2030_hop_L_01.c3d.11","X2031_hop_L_01.c3d.11","X2032_hop_L_01.c3d.11","X2034_hop_L_01.c3d.11"
16.641891,17.213333,16.583834,17.682316,13.028842,30.723555,33.945389,25.342237,22.388117,33.285213,29.905975,32.03965,17.353456,17.867287,22.513657,5.784822,10.465892,16.655336,11.93972,15.694637,18.441328,6.047672,17.079962,5.938784,18.761261,28.571062,20.863331,12.525599,11.174155,12.550681,6.649862,40.933807,13.931958,17.803173,13.085546,23.906906,17.25091,26.752377,9.575655,10.482844,24.047121,33.444004,33.050049,9.141728,4.657141,11.866915,11.19741,16.13308,8.251756,16.523611,9.294415,25.859959,18.107761,41.460426,34.238476,13.840393,30.095575,7.398735,24.819916,10.951837,9.082942,17.015928,13.213116,19.128141,0.799849,31.405455,9.287166,8.022938,14.728765,30.116669,19.792913,10.247237,16.779921,10.498694,5.227117,23.432236,9.030615,25.253208,18.610828,14.529148,30.400188,18.086674,21.190285,17.847876,17.112858,12.945095,15.023462,23.399614,58.933575,18.082209,16.908085,10.968658,31.497484,28.27854,19.063093,13.695354,18.079632,9.634286,16.616976,23.824947
16.633018,17.456881,16.676275,17.756447,13.095552,30.750423,33.890762,25.226681,22.498316,33.425945,29.883736,32.106743,17.553591,17.768064,22.474442,5.769111,10.555137,16.71043,11.942274,15.698748,18.191093,6.097302,17.236227,6.111778,18.818962,28.779215,20.912008,12.559987,11.230569,12.471514,7.016133,41.175068,13.926888,17.95722,13.200056,23.841022,17.243109,26.651585,9.583883,10.522017,23.995255,33.640106,33.172348,9.170069,4.771628,11.889862,11.184127,16.29496,8.454494,16.509554,9.283634,26.0005,18.32239,41.69413,33.87104,13.786442,30.147196,7.53024,24.903053,10.996969,9.119723,16.881531,13.213528,19.462015,0.917976,31.464743,9.506462,8.172742,14.955095,30.161528,19.883032,10.373348,16.89826,10.689546,5.235604,23.369171,8.871844,25.263174,18.65527,14.594395,30.557091,17.920103,21.052971,17.768335,17.082659,12.930297,15.399909,23.38435,59.048992,18.13081,16.983963,11.195472,31.602724,29.306376,19.191147,13.878611,18.072241,9.708488,16.633739,23.68384
16.620953,17.731419,16.766592,17.824986,13.17519,30.782028,33.831982,25.10869,22.636019,33.585361,29.855431,32.189137,17.761808,17.683096,22.462015,5.755985,10.633536,16.772486,11.94705,15.70276,17.968536,6.113597,17.426767,6.253166,18.878696,28.997908,20.958244,12.59962,11.287364,12.391283,7.334553,41.416214,13.91509,18.126959,13.319305,23.778994,17.235678,26.558851,9.606072,10.586503,23.932619,33.848293,33.299564,9.198013,4.898026,11.908713,11.171873,16.471405,8.676087,16.491772,9.272495,26.153538,18.548309,41.914875,33.49292,13.727695,30.213051,7.648163,24.985651,11.048512,9.149966,16.744646,13.207993,19.812862,1.036289,31.495193,9.763564,8.30383,15.216442,30.217318,19.972996,10.51265,17.017567,10.89455,5.240613,23.312578,8.712905,25.293077,18.70466,14.663739,30.725603,17.744049,20.939613,17.686451,17.051664,12.911858,15.818023,23.362083,59.182743,18.188251,17.069248,11.440419,31.74036,30.22521,19.336496,14.067522,18.065126,9.757092,16.651699,23.530521
16.607658,18.031168,16.848328,17.879206,13.270806,30.81819,33.775654,24.995874,22.813236,33.763744,29.821442,32.279743,17.974453,17.632977,22.486189,5.752483,10.69435,16.847647,11.955721,15.713067,17.805614,6.088689,17.653421,6.344584,18.940367,29.219589,21.001366,12.645787,11.344838,12.316911,7.563585,41.64576,13.896206,18.31251,13.439467,23.727777,17.22982,26.48443,9.654556,10.664882,23.861795,34.053894,33.429928,9.225346,5.045532,11.924712,11.160699,16.658812,8.915161,16.471638,9.261433,26.317631,18.780685,42.084953,33.134644,13.673537,30.299141,7.738879,25.064848,11.108943,9.16588,16.611971,13.198399,20.169041,1.152814,31.480078,10.05536,8.403385,15.518991,30.282854,20.0597,10.666722,17.130999,11.106282,5.242424,23.274311,8.570333,25.347172,18.759876,14.737344,30.905045,17.56505,20.869492,17.604445,17.022734,12.888802,16.260296,23.33045,59.32135,18.258245,17.165751,11.698779,31.910677,30.953945,19.499889,14.257214,18.059053,9.776287,16.668783,23.364405
16.595585,18.347494,16.920124,17.914169,13.384735,30.858034,33.733334,24.896286,23.038229,33.96006,29.784342,32.362522,18.188917,17.627737,22.542,5.763755,10.740671,16.940296,11.964936,15.736293,17.701685,6.038615,17.906078,6.393754,19.00395,29.440893,21.041849,12.699601,11.403008,12.25322,7.704377,41.863029,13.87111,18.511404,13.558523,23.691465,17.226496,26.434303,9.737919,10.731412,23.790794,34.242748,33.561512,9.251411,5.219576,11.938386,11.146555,16.846922,9.170135,16.450657,9.2531,26.491928,19.01663,42.181244,32.818386,13.635862,30.410805,7.799121,25.138369,11.179809,9.161161,16.484945,13.187937,20.522833,1.266391,31.422054,10.370905,8.475589,15.864341,30.351753,20.144135,10.835241,17.23399,11.316031,5.240695,23.261925,8.454581,25.416845,18.820847,14.815004,31.096193,17.388325,20.842524,17.523554,16.997074,12.861078,16.703199,23.291029,59.447071,18.343246,17.274538,11.965743,32.10183,31.497524,19.679121,14.443619,18.055147,9.778598,16.68322,23.184652
16.587492,18.672272,16.985142,17.928263,13.518215,30.899696,33.714581,24.817541,23.309105,34.171642,29.747711,32.422443,18.402876,17.665152,22.621105,5.793144,10.780912,17.052734,11.965853,15.778363,17.63826,5.987158,18.167656,6.416835,19.069424,29.661003,21.080542,12.761695,11.461759,12.202889,7.779915,42.072174,13.842079,18.718462,13.675693,23.671734,17.226395,26.410845,9.860607,10.767798,23.731232,34.404953,33.692242,9.275303,5.421738,11.950033,11.122759,17.020386,9.43855,16.430538,9.252014,26.675848,19.253986,42.196548,32.556221,13.62422,30.550932,7.833064,25.204609,11.261238,9.136396,16.361696,13.180325,20.869074,1.376413,31.334118,10.699073,8.532654,16.248056,30.414806,20.228041,11.015495,17.323618,11.517764,5.234907,23.275997,8.372062,25.489418,18.886366,14.895948,31.300291,17.218727,20.849606,17.4452,16.974827,12.829319,17.124178,23.248648,59.544243,18.443897,17.395458,12.236059,32.296265,31.901711,19.869146,14.623302,18.054924,9.780421,16.693367,22.990732
16.585859,19.000679,17.048685,17.922619,13.671835,30.940546,33.720448,24.764984,23.611656,34.395191,29.714161,32.451641,18.614168,17.733555,22.721428,5.84203,10.823368,17.185146,11.94874,15.84363,17.594049,5.951982,18.421625,6.427995,19.136744,29.880688,21.118469,12.832423,11.52099,12.166376,7.815914,42.27673,13.812377,18.927265,13.791263,23.668524,17.229813,26.413834,10.022157,10.772315,23.694464,34.538162,33.820427,9.296091,5.649984,11.959921,11.082348,17.160639,9.717856,16.413052,9.263836,26.869326,19.491381,42.139725,32.349899,13.638808,30.719238,7.847929,25.262642,11.35183,9.103957,16.238338,13.178496,21.205229,1.482697,31.233015,11.032109,8.587513,16.660585,30.463213,20.312101,11.203012,17.398571,11.708651,5.224558,23.310875,8.326636,25.557211,18.954245,14.978847,31.518677,17.060579,20.880705,17.371105,16.955593,12.794292,17.509754,23.209364,59.603996,18.558846,17.5273,12.505572,32.477859,32.218067,20.063824,14.793706,18.06028,9.789493,16.697855,22.782217
16.592485,19.330448,17.114584,17.90049,13.845958,30.977594,33.745148,24.740271,23.923611,34.627552,29.683924,32.449661,18.820766,17.817625,22.849218,5.909586,10.873161,17.335882,11.909037,15.935599,17.552132,5.940012,18.658346,6.436411,19.205822,30.101574,21.156628,12.912158,11.580596,12.142273,7.830046,42.477478,13.785707,19.131779,13.906382,23.680731,17.236507,26.441189,10.216516,10.754857,23.688219,34.645878,33.945103,9.313079,5.898897,11.968361,11.020631,17.250448,10.006177,16.400084,9.294248,27.072796,19.72887,42.030769,32.194847,13.667816,30.912521,7.850837,25.312162,11.448855,9.085728,16.11014,13.183886,21.53142,1.58549,31.133493,11.364235,8.649249,17.089016,30.490913,20.395264,11.392404,17.459473,11.884851,5.209235,23.358459,8.320463,25.622747,19.021587,15.061835,31.752384,16.917164,20.927828,17.30374,16.938957,12.756502,17.858957,23.178295,59.625851,18.684643,17.668093,12.772779,32.637383,32.488235,20.257637,14.953156,18.073299,9.768254,16.695963,22.558563
16.608236,19.660774,17.18292,17.866539,14.040798,31.007914,33.781631,24.741102,24.223665,34.866173,29.654627,32.421692,19.02067,17.903692,23.012602,5.992941,10.931822,17.501951,11.848832,16.057903,17.501499,5.949552,18.877779,6.44614,19.276539,30.325573,21.195465,13.001388,11.640332,12.128011,7.830087,42.672928,13.765668,19.32737,14.022758,23.706837,17.24575,26.489386,10.433057,10.726427,23.715271,34.733154,34.066074,9.326004,6.160089,11.975679,10.937185,17.280674,10.302664,16.393909,9.347497,27.28701,19.968399,41.894169,32.083408,13.692338,31.125343,7.847574,25.353418,11.548786,9.101005,15.973779,13.196383,21.84997,1.68547,31.043926,11.689644,8.720119,17.519859,30.496376,20.473366,11.578114,17.509012,12.039615,5.188713,23.412373,8.354256,25.696564,19.08523,15.142547,32.001602,16.79026,20.984003,17.24696,16.925022,12.716038,18.181271,23.158421,59.617798,18.816002,17.81542,13.039382,32.774868,32.740974,20.446712,15.100643,18.095757,9.60116,16.687901,22.319017
16.632969,19.992794,17.248821,17.825983,14.256246,31.028984,33.825104,24.762339,24.49789,35.109383,29.622332,32.376404,19.211777,17.981976,23.21521,6.088034,10.998234,17.679552,11.773129,16.213978,17.437885,5.973317,19.088043,6.456567,19.348747,30.55452,21.234409,13.100583,11.699695,12.12057,7.819507,42.860439,13.755271,19.511095,14.142363,23.745344,17.256569,26.55393,10.659595,10.689342,23.774218,34.803436,34.183712,9.335133,6.423021,11.982119,10.836312,17.25362,10.60746,16.397367,9.425164,27.512856,20.213648,41.753407,32.007168,13.696456,31.350679,7.842409,25.387112,11.647934,9.155411,15.828903,13.214607,22.164452,1.783676,30.963812,12.002244,8.794191,17.942301,30.483248,20.534704,11.755115,17.551641,12.166896,5.163183,23.470583,8.427428,25.789301,19.142332,15.218302,32.265282,16.67992,21.041819,17.20586,16.914871,12.672602,18.489054,23.150608,59.592964,18.946476,17.966801,13.309804,32.896774,32.994457,20.629059,15.235579,18.128496,9.278075,16.674765,22.062599
