"X004_hop_L_01.c3d.11","X008_hop_R_01.c3d.11","X009_Hop_L_01.c3d.11","X012_hop_L_01.c3d.11","X015_Hop_R_01.c3d.11","X016_Hop_R_01.c3d.11","X017_hop_L_01.c3d.11","X018_hop_R_01.c3d.11","X019_hop_L_01.c3d.11","X021_Hop_L_01.c3d.11","X027_hop_R_01.c3d.11","X028_Hop_L_01.c3d.11","X033_hop_R_01.c3d.11","X035_Hop_R_01.c3d.11","X036_Hop_L_01.c3d.11","X037_hop_R_01.c3d.11","X049_hop_R_01.c3d.11","X052_Hop_R_01.c3d.11","X053_hop_L_01.c3d.11","X068_hop_R_01.c3d.11","X070_hop_R_01.c3d.11","X073_hop_R_01.c3d.11","X075_hop_L_01.c3d.11","X080_hop_L_01.c3d.11","X086_Hop_R_01.c3d.11","X092_hop_R_01.c3d.11","X100_hop_R_01.c3d.11","X103_hop_R_01.c3d.11","X111_hop_L_01.c3d.11","X118_hop_R_01.c3d.11","X119_hop_R_01.c3d.11","X128_hop_R_01.c3d.11","X130_Hop_L_01.c3d.11","X149_hop_R_01.c3d.11","X155_hop_R_01.c3d.11","X329_hop_L_01.c3d.11"
13.931958,17.803173,13.085546,23.906906,17.25091,26.752377,9.575655,10.482844,24.047121,33.444004,33.050049,9.141728,4.657141,11.866915,11.19741,16.13308,8.251756,16.523611,9.294415,25.859959,18.107761,41.460426,34.238476,13.840393,30.095575,7.398735,24.819916,10.951837,9.082942,17.015928,13.213116,19.128141,0.799849,31.405455,9.287166,8.022938
13.930224,17.878275,13.141869,23.874031,17.247049,26.701775,9.577736,10.493423,24.022518,33.507008,33.110458,9.155954,4.71359,11.87903,11.190811,16.185452,8.350605,16.517147,9.28901,25.928501,18.213217,41.536705,34.119629,13.823438,30.119938,7.442801,24.903053,10.973765,9.095484,16.97213,13.214149,19.291973,0.858726,31.426378,9.356195,8.073277
13.926888,17.95722,13.200056,23.841022,17.243109,26.651585,9.580293,10.506322,23.995255,33.572617,33.172348,9.170069,4.771628,11.889862,11.184127,16.239395,8.454494,16.509554,9.283634,26.0005,18.32239,41.615311,33.996563,13.80535,30.147196,7.486932,24.985651,10.996969,9.107826,16.927143,13.213528,19.462015,0.917976,31.446646,9.42927,8.123634
13.921872,18.040081,13.259381,23.809021,17.239265,26.603468,9.583883,10.522017,23.965244,33.640106,33.235455,9.184092,4.832682,11.899696,11.177765,16.29496,8.563043,16.50104,9.278135,26.075577,18.434311,41.69413,33.87104,13.786442,30.17798,7.53024,25.064848,11.021772,9.119723,16.881531,13.211413,19.636171,0.977255,31.464743,9.506462,8.172742
13.91509,18.126959,13.319305,23.778994,17.235678,26.558851,9.589048,10.540745,23.932619,33.7089,33.299564,9.198013,4.898026,11.908713,11.171873,16.352188,8.676087,16.491772,9.272495,26.153538,18.548309,41.771339,33.744473,13.766993,30.213051,7.571953,25.138369,11.048512,9.130905,16.835712,13.207993,19.812862,1.036289,31.479425,9.587904,8.219584
13.906514,18.217836,13.379431,23.751715,17.232487,26.518881,9.596291,10.562396,23.897852,33.778469,33.364468,9.211788,4.968708,11.917027,11.166319,16.411045,8.793513,16.481911,9.266838,26.234259,18.663895,41.845379,33.618069,13.747298,30.253191,7.61143,25.204609,11.07749,9.141086,16.790007,13.203531,19.990831,1.094863,31.489773,9.673639,8.263433
13.896206,18.31251,13.439467,23.727777,17.22982,26.48443,9.606072,10.586503,23.861795,33.848293,33.429928,9.225346,5.045532,11.924712,11.160699,16.471405,8.915161,16.471638,9.261433,26.317631,18.780685,41.914875,33.49292,13.727695,30.299141,7.648163,25.262642,11.108943,9.149966,16.744646,13.198399,20.169041,1.152814,31.495193,9.763564,8.30383
13.884321,18.410563,13.499208,23.707603,17.227791,26.45611,9.618807,10.612288,23.825634,33.917839,33.495701,9.23859,5.12905,11.931819,11.15438,16.533041,9.0408,16.461149,9.25668,26.403551,18.898361,41.978634,33.370029,13.708573,30.351522,7.681784,25.312162,11.143027,9.157247,16.699793,13.193039,20.346617,1.21002,31.495388,9.857423,8.340579
13.87111,18.511404,13.558523,23.691465,17.226496,26.434303,9.634862,10.638769,23.790794,33.986557,33.561512,9.251411,5.219576,11.938386,11.146555,16.59564,9.170135,16.450657,9.2531,26.491928,19.01663,42.035618,33.250324,13.690366,30.410805,7.712059,25.353418,11.179809,9.162637,16.655554,13.187937,20.522833,1.266391,31.490303,9.954838,8.373699
13.856899,18.614305,13.61735,23.679499,17.226013,26.419203,9.654556,10.664882,23.75882,34.053894,33.627102,9.26369,5.317187,11.944448,11.136323,16.658812,9.302831,16.44038,9.251314,26.582703,19.135242,42.084953,33.134644,13.673537,30.477253,7.738879,25.387112,11.219255,9.16588,16.611971,13.18356,20.697119,1.321867,31.480078,10.05536,8.403385
