"X004_hop_L_01.c3d.11","X008_hop_R_01.c3d.11","X009_Hop_L_01.c3d.11","X012_hop_L_01.c3d.11","X015_Hop_R_01.c3d.11","X016_Hop_R_01.c3d.11","X017_hop_L_01.c3d.11","X018_hop_R_01.c3d.11","X019_hop_L_01.c3d.11","X021_Hop_L_01.c3d.11","X027_hop_R_01.c3d.11","X028_Hop_L_01.c3d.11","X033_hop_R_01.c3d.11","X035_Hop_R_01.c3d.11","X036_Hop_L_01.c3d.11","X037_hop_R_01.c3d.11","X049_hop_R_01.c3d.11","X052_Hop_R_01.c3d.11","X053_hop_L_01.c3d.11","X068_hop_R_01.c3d.11","X070_hop_R_01.c3d.11","X073_hop_R_01.c3d.11","X075_hop_L_01.c3d.11","X080_hop_L_01.c3d.11","X086_Hop_R_01.c3d.11","X092_hop_R_01.c3d.11","X100_hop_R_01.c3d.11","X103_hop_R_01.c3d.11","X111_hop_L_01.c3d.11","X118_hop_R_01.c3d.11","X119_hop_R_01.c3d.11","X128_hop_R_01.c3d.11","X130_Hop_L_01.c3d.11","X149_hop_R_01.c3d.11","X155_hop_R_01.c3d.11","X329_hop_L_01.c3d.11"
13.931958,17.803173,13.085546,23.906906,17.25091,26.752377,9.575655,10.482844,24.047121,33.444004,33.050049,9.141728,4.657141,11.866915,11.19741,16.13308,8.251756,16.523611,9.294415,25.859959,18.107761,41.460426,34.238476,13.840393,30.095575,7.398735,24.819916,10.951837,9.082942,17.015928,13.213116,19.128141,0.799849,31.405455,9.287166,8.022938
13.926888,17.95722,13.200056,23.841022,17.243109,26.651585,9.583883,10.522017,23.995255,33.640106,33.172348,9.170069,4.771628,11.889862,11.184127,16.29496,8.454494,16.509554,9.283634,26.0005,18.32239,41.69413,33.87104,13.786442,30.147196,7.53024,24.903053,10.996969,9.119723,16.881531,13.213528,19.462015,0.917976,31.464743,9.506462,8.172742
13.91509,18.126959,13.319305,23.778994,17.235678,26.558851,9.606072,10.586503,23.932619,33.848293,33.299564,9.198013,4.898026,11.908713,11.171873,16.471405,8.676087,16.491772,9.272495,26.153538,18.548309,41.914875,33.49292,13.727695,30.213051,7.648163,24.985651,11.048512,9.149966,16.744646,13.207993,19.812862,1.036289,31.495193,9.763564,8.30383
13.896206,18.31251,13.439467,23.727777,17.22982,26.48443,9.654556,10.664882,23.861795,34.053894,33.429928,9.225346,5.045532,11.924712,11.160699,16.658812,8.915161,16.471638,9.261433,26.317631,18.780685,42.084953,33.134644,13.673537,30.299141,7.738879,25.064848,11.108943,9.16588,16.611971,13.198399,20.169041,1.152814,31.480078,10.05536,8.403385
13.87111,18.511404,13.558523,23.691465,17.226496,26.434303,9.737919,10.731412,23.790794,34.242748,33.561512,9.251411,5.219576,11.938386,11.146555,16.846922,9.170135,16.450657,9.2531,26.491928,19.01663,42.181244,32.818386,13.635862,30.410805,7.799121,25.138369,11.179809,9.161161,16.484945,13.187937,20.522833,1.266391,31.422054,10.370905,8.475589
13.842079,18.718462,13.675693,23.671734,17.226395,26.410845,9.860607,10.767798,23.731232,34.404953,33.692242,9.275303,5.421738,11.950033,11.122759,17.020386,9.43855,16.430538,9.252014,26.675848,19.253986,42.196548,32.556221,13.62422,30.550932,7.833064,25.204609,11.261238,9.136396,16.361696,13.180325,20.869074,1.376413,31.334118,10.699073,8.532654
13.812377,18.927265,13.791263,23.668524,17.229813,26.413834,10.022157,10.772315,23.694464,34.538162,33.820427,9.296091,5.649984,11.959921,11.082348,17.160639,9.717856,16.413052,9.263836,26.869326,19.491381,42.139725,32.349899,13.638808,30.719238,7.847929,25.262642,11.35183,9.103957,16.238338,13.178496,21.205229,1.482697,31.233015,11.032109,8.587513
13.785707,19.131779,13.906382,23.680731,17.236507,26.441189,10.216516,10.754857,23.688219,34.645878,33.945103,9.313079,5.898897,11.968361,11.020631,17.250448,10.006177,16.400084,9.294248,27.072796,19.72887,42.030769,32.194847,13.667816,30.912521,7.850837,25.312162,11.448855,9.085728,16.11014,13.183886,21.53142,1.58549,31.133493,11.364235,8.649249
13.765668,19.32737,14.022758,23.706837,17.24575,26.489386,10.433057,10.726427,23.715271,34.733154,34.066074,9.326004,6.160089,11.975679,10.937185,17.280674,10.302664,16.393909,9.347497,27.28701,19.968399,41.894169,32.083408,13.692338,31.125343,7.847574,25.353418,11.548786,9.101005,15.973779,13.196383,21.84997,1.68547,31.043926,11.689644,8.720119
13.755271,19.511095,14.142363,23.745344,17.256569,26.55393,10.659595,10.689342,23.774218,34.803436,34.183712,9.335133,6.423021,11.982119,10.836312,17.25362,10.60746,16.397367,9.425164,27.512856,20.213648,41.753407,32.007168,13.696456,31.350679,7.842409,25.387112,11.647934,9.155411,15.828903,13.214607,22.164452,1.783676,30.963812,12.002244,8.794191
13.756593,19.681438,14.267171,23.794949,17.268053,26.630077,10.885574,10.634418,23.861353,34.858093,34.298698,9.341209,6.676277,11.987781,10.72553,17.1793,10.92136,16.413828,9.526044,27.751009,20.469343,41.628132,31.959629,13.676002,31.580811,7.838237,25.414299,11.742965,9.244065,15.678748,13.236226,22.478544,1.881345,30.882614,12.298022,8.858843
13.77065,19.837839,14.398776,23.854565,17.27961,26.713678,11.103278,10.547715,23.97245,34.897057,34.411949,9.345283,6.908994,11.992678,10.613171,17.068501,11.245351,16.446999,9.647363,28.00149,20.740355,41.534271,31.937727,13.637905,31.808758,7.837026,25.436312,11.83116,9.364052,15.530679,13.258364,22.79517,1.979774,30.782944,12.577089,8.899257
13.797522,19.980307,14.537837,23.923376,17.290997,26.801752,11.306741,10.420898,24.103735,34.919029,34.524689,9.348485,7.111973,11.996854,10.506674,16.929081,11.580142,16.500654,9.786417,28.263212,21.030785,41.48457,31.942781,13.59213,32.029789,7.840435,25.454649,11.910579,9.521036,15.395379,13.278127,23.116156,2.080384,30.648886,12.843111,8.904947
13.836566,20.10924,14.683617,24.000872,17.302198,26.892523,11.489401,10.25661,24.252153,34.922005,34.638443,9.351821,7.278167,12.000481,10.411989,16.765524,11.925675,16.578295,9.941504,28.533737,21.343151,41.487213,31.980078,13.546329,32.241829,7.85011,25.470898,11.980232,9.725498,15.284588,13.293192,23.442293,2.184872,30.474733,13.101637,8.877542
13.886681,20.225433,14.834036,24.086889,17.313259,26.985023,11.642433,10.066033,24.415436,34.90456,34.754833,9.355968,7.402719,12.003848,10.333558,16.579626,12.280704,16.682631,10.111739,28.809364,21.677801,41.543396,32.053898,13.505809,32.44479,7.867723,25.486629,12.0402,9.985439,15.208384,13.30214,23.773483,2.295177,30.270683,13.359559,8.835303
13.946527,20.330212,14.986408,24.181559,17.324162,27.078651,11.756132,9.862697,24.592142,34.867455,34.875221,9.361098,7.482969,12.007298,10.27448,16.373167,12.642547,16.814898,10.29617,29.08576,22.032835,41.647358,32.160137,13.474959,32.639561,7.894853,25.503323,12.091517,10.302338,15.173307,13.304456,24.108875,2.4131,30.063974,13.625906,8.806264
14.014584,20.425608,15.138428,24.285038,17.334789,27.172985,11.823652,9.658257,24.781576,34.814541,35.000481,9.366756,7.518785,12.011156,10.236803,16.15132,13.007073,16.974245,10.493173,29.358953,22.404539,41.789864,32.282295,13.458498,32.827274,7.932226,25.522274,12.135824,10.669621,15.182311,13.30035,24.446938,2.539747,29.889019,13.909336,8.81157
14.088983,20.514433,15.288822,24.397053,17.344995,27.267857,11.843895,9.462097,24.983335,34.75177,35.131207,9.371829,7.51322,12.015715,10.221731,15.923756,13.368922,17.157444,10.70063,29.626247,22.787977,41.961895,32.395939,13.461718,33.008976,7.978601,25.54455,12.174934,11.071846,15.235702,13.290559,24.785498,2.675172,29.76874,14.211072,8.853644
14.167321,20.600058,15.43731,24.516459,17.35463,27.36348,11.821624,9.282866,25.196615,34.685486,35.268261,9.374747,7.472902,12.021282,10.229521,15.70348,13.721839,17.359116,10.916393,29.886595,23.177427,42.15572,32.478096,13.487872,33.185524,8.030004,25.570942,12.210476,11.487935,15.331635,13.276134,25.121838,2.81845,29.706219,14.521443,8.917037
14.246732,20.685955,15.583919,24.64118,17.363522,27.460396,11.765438,9.128932,25.419809,34.621666,35.413204,9.374053,7.407433,12.028258,10.25913,15.505783,14.059157,17.572392,11.13826,30.140274,23.566654,42.36314,32.512314,13.533335,33.357666,8.080308,25.601967,12.243608,11.898332,15.465717,13.258301,25.452885,2.968113,29.691679,14.825962,8.980774
14.324281,20.775324,15.728119,24.76869,17.371424,27.559179,11.685678,9.00656,25.650635,34.56451,35.568214,9.369263,7.327489,12.037227,10.307858,15.348565,14.374489,17.78989,11.363531,30.388027,23.949215,42.572475,32.488537,13.586149,33.525982,8.122872,25.637888,12.274857,12.291369,15.6313,13.238406,25.775471,3.122689,29.714516,15.113694,9.031457
14.397513,20.871017,15.868402,24.896702,17.37797,27.660086,11.592247,8.917248,25.886349,34.514771,35.735409,9.36173,7.242572,12.048982,10.371285,15.251035,14.662613,18.004717,11.588895,30.630032,24.319016,42.766582,32.403278,13.632018,33.690613,8.152057,25.678768,12.304241,12.665084,15.821328,13.217914,26.086586,3.281129,29.772861,15.380567,9.066184
