"X2001_hop_L_01.c3d.11","X2002_hop_L_01.c3d.11","X2004_hop_L_01.c3d.11","X2005_hop_L_01.c3d.11","X2006_hop_L_01.c3d.11","X2007_hop_L_01.c3d.11","X2008_hop_L_01.c3d.11","X2009_hop_L_01.c3d.11","X2010_hop_L_01.c3d.11","X2011_hop_L_01.c3d.11","X2012_hop_L_01.c3d.11","X2013_hop_L_01.c3d.11","X2014_hop_L_01.c3d.11","X2015_hop_L_01.c3d.11","X2016_hop_L_01.c3d.11","X2017_hop_L_01.c3d.11","X2018_hop_L_01.c3d.11","X2019_hop_L_01.c3d.11","X2020_hop_L_01.c3d.11","X2021_hop_L_01.c3d.11","X2022_hop_L_01.c3d.11","X2023_hop_L_01.c3d.11","X2024_hop_L_01.c3d.11","X2025_hop_L_01.c3d.11","X2026_hop_L_01.c3d.11","X2027_hop_R_01.c3d.11","X2028_hop_L_01.c3d.11","X2029_hop_L_01.c3d.11","X2030_hop_L_01.c3d.11","X2031_hop_L_01.c3d.11","X2032_hop_L_01.c3d.11","X2034_hop_L_01.c3d.11"
14.728765,30.116669,19.792913,10.247237,16.779921,10.498694,5.227117,23.432236,9.030615,25.253208,18.610828,14.529148,30.400188,18.086674,21.190285,17.847876,17.112858,12.945095,15.023462,23.399614,58.933575,18.082209,16.908085,10.968658,31.497484,28.27854,19.063093,13.695354,18.079632,9.634286,16.616976,23.824947
14.83797,30.130514,19.837545,10.30876,16.838425,10.560312,5.231856,23.411335,8.952584,25.255245,18.632502,14.561266,30.477032,18.005098,21.144058,17.821888,17.098114,12.938063,15.143274,23.392578,58.969334,18.105652,16.94495,11.07942,31.529446,28.796846,19.12505,13.785905,18.075939,9.660458,16.625053,23.755945
14.955095,30.145439,19.883032,10.373348,16.89826,10.62403,5.235604,23.390135,8.871844,25.258322,18.65527,14.594395,30.557091,17.920103,21.097744,17.795301,17.082659,12.930297,15.269017,23.38435,59.00795,18.13081,16.983963,11.195472,31.564411,29.306376,19.191147,13.878611,18.072241,9.685608,16.633739,23.68384
15.080946,30.161528,19.928368,10.441226,16.958284,10.689546,5.238504,23.369171,8.791193,25.263174,18.679276,14.628543,30.639992,17.8328,21.052971,17.768335,17.067038,12.921613,15.399909,23.374327,59.048992,18.158176,17.025312,11.316,31.602724,29.786961,19.261564,13.972693,18.068609,9.708488,16.64271,23.608721
15.216442,30.178858,19.972996,10.51265,17.017567,10.756629,5.240613,23.348948,8.712905,25.270378,18.70466,14.663739,30.725603,17.744049,21.011072,17.741142,17.051664,12.911858,15.5354,23.362083,59.092087,18.188251,17.069248,11.440419,31.644712,30.22521,19.336496,14.067522,18.065126,9.728252,16.651699,23.530521
15.362323,30.197466,20.016745,10.587802,17.075346,10.825051,5.241932,23.329933,8.638803,25.280298,18.731518,14.700008,30.813927,17.654579,20.973057,17.713825,17.036833,12.900932,15.674972,23.347433,59.136829,18.221487,17.116001,11.568202,31.690584,30.614532,19.415995,14.162537,18.061899,9.744474,16.660465,23.449123
15.518991,30.217318,20.0597,10.666722,17.130999,10.89455,5.242424,23.312578,8.570333,25.293077,18.759876,14.737344,30.905045,17.56505,20.939613,17.686451,17.022734,12.888802,15.818023,23.33045,59.182743,18.258245,17.165751,11.698779,31.74036,30.953945,19.499889,14.257214,18.059053,9.757092,16.668783,23.364405
15.686459,30.2383,20.102081,10.749294,17.184017,10.964816,5.242034,23.297291,8.50863,25.308659,18.789692,14.775702,30.999083,17.476093,20.911137,17.659067,17.009468,12.875494,15.963832,23.311468,59.229244,18.298784,17.21859,11.831517,31.79388,31.246464,19.587791,14.35106,18.056746,9.766317,16.676439,23.276272
15.864341,30.260229,20.144135,10.835241,17.23399,11.035509,5.240695,23.284437,8.454581,25.326809,18.820847,14.815004,31.096193,17.388325,20.887781,17.631718,16.997074,12.861078,16.111561,23.291029,59.275677,18.343246,17.274538,11.965743,31.850811,31.497524,19.679121,14.443619,18.055147,9.772544,16.68322,23.184652
16.051897,30.282854,20.186077,10.92415,17.280598,11.106282,5.238341,23.274311,8.40888,25.347172,18.853153,14.855137,31.196539,17.302347,20.869492,17.604445,16.985542,12.845652,16.260296,23.269831,59.32135,18.391651,17.333536,12.100789,31.910677,31.713686,19.773165,14.534483,18.054464,9.776287,16.688925,23.089489
