"X231_hop_R_01.c3d.11","X238_hop_R_01.c3d.11","X250_hop_R_01.c3d.11","X253_hop_R_01.c3d.11","X263_Hop_L_01.c3d.11","X278_hop_R_01.c3d.11","X281_hop_R_01.c3d.11","X283_Hop_L_01.c3d.11","X285_Hop_R_01.c3d.11","X286_hop_L_01.c3d.11","X300_hop_R_01.c3d.11","X302_hop_L_01.c3d.11","X305_hop_R_01.c3d.11","X306_hop_L_01.c3d.11","X309_hop_L_01.c3d.11","X310_hop_R_01.c3d.11","X312_hop_R_01.c3d.11","X318_hop_R_01.c3d.11","X321_hop_R_01.c3d.11","X326_hop_L_01.c3d.11","X328_hop_R_01.c3d.11","X337_hop_R_01.c3d.11","X340_hop_L_01.c3d.11","X341_hop_R_01.c3d.11","X342_hop_L_01.c3d.11","X343_Hop_L_01.c3d.11","X346_Hop_R_01.c3d.11","X354_hop_R_01.c3d.11","X361_hop_R_01.c3d.11","X368_hop_R_01.c3d.11","X399_hop_R_01.c3d.11","X402_hop_R_01.c3d.11"
16.641891,17.213333,16.583834,17.682316,13.028842,30.723555,33.945389,25.342237,22.388117,33.285213,29.905975,32.03965,17.353456,17.867287,22.513657,5.784822,10.465892,16.655336,11.93972,15.694637,18.441328,6.047672,17.079962,5.938784,18.761261,28.571062,20.863331,12.525599,11.174155,12.550681,6.649862,40.933807
16.637972,17.290684,16.614241,17.719387,13.060751,30.736387,33.927803,25.285236,22.422398,33.353237,29.895565,32.060375,17.452198,17.834242,22.498999,5.777161,10.511041,16.682447,11.940567,15.696431,18.358389,6.066228,17.128765,5.997301,18.818962,28.673115,20.879717,12.542202,11.202345,12.511759,6.772569,41.053207
16.633018,17.371984,16.645212,17.756447,13.095552,30.750423,33.90958,25.226681,22.459049,33.425945,29.883736,32.082691,17.553591,17.800812,22.48558,5.769111,10.555137,16.71043,11.94136,15.697711,18.274109,6.083215,17.180738,6.055655,18.878696,28.779215,20.895971,12.559987,11.230569,12.471514,6.895811,41.175068
16.62727,17.456881,16.676275,17.792051,13.133563,30.765636,33.890762,25.167522,22.498316,33.503292,29.870369,32.106743,17.656958,17.768064,22.474442,5.761739,10.596369,16.74017,11.942274,15.698748,18.191093,6.097302,17.236227,6.111778,18.940367,28.887842,20.912008,12.579071,11.258893,12.431046,7.016133,41.29668
16.620953,17.545189,16.707048,17.824986,13.17519,30.782028,33.871441,25.10869,22.540586,33.585361,29.855431,32.132591,17.761808,17.736963,22.466438,5.755985,10.633536,16.772486,11.94346,15.699781,18.111475,6.107445,17.295588,6.164059,19.00395,28.997908,20.927761,12.59962,11.287364,12.391283,7.130697,41.416214
16.614319,17.636763,16.737232,17.85428,13.220826,30.79957,33.851765,25.051142,22.586325,33.672199,29.839031,32.160149,17.86775,17.708384,22.462181,5.752666,10.666142,16.808107,11.945027,15.701042,18.036903,6.112967,17.359072,6.211396,19.069424,29.10866,20.94318,12.621806,11.31601,12.353016,7.237337,41.532669
16.607658,17.731419,16.766592,17.879206,13.270806,30.81819,33.831982,24.995874,22.636019,33.763744,29.821442,32.189137,17.974453,17.683096,22.462015,5.752483,10.69435,16.847647,11.94705,15.70276,17.968536,6.113597,17.426767,6.253166,19.136744,29.219589,20.958244,12.645787,11.344838,12.316911,7.334553,41.64576
16.601297,17.828915,16.794958,17.899267,13.325382,30.837746,33.81242,24.94392,22.690138,33.859802,29.803057,32.219124,18.081606,17.66177,22.466047,5.756021,10.71885,16.891592,11.949548,15.705172,17.907076,6.109437,17.498585,6.289162,19.205822,29.330387,20.972954,12.671689,11.373842,12.283509,7.421471,41.755703
16.595585,17.928946,16.82222,17.914169,13.384735,30.858034,33.793491,24.896286,22.7491,33.96006,29.784342,32.249542,18.188917,17.644936,22.474186,5.763755,10.740671,16.940296,11.952477,15.708524,17.852798,6.10091,17.57427,6.319512,19.276539,29.440893,20.987322,12.699601,11.403008,12.25322,7.497768,41.863029
16.590874,18.031168,16.848328,17.923811,13.448986,30.878788,33.775654,24.853899,22.813236,34.064148,29.76576,32.279743,18.296099,17.632977,22.486189,5.77605,10.76098,16.993982,11.955721,15.713067,17.805614,6.088689,17.653421,6.344584,19.348747,29.551077,21.001366,12.729589,11.432318,12.226306,7.563585,41.968338
16.587492,18.135223,16.873291,17.928263,13.518215,30.899696,33.759388,24.817541,22.882769,34.171642,29.747711,32.309059,18.402876,17.62611,22.501732,5.793144,10.780912,17.052734,11.959078,15.719052,17.765131,6.073613,17.735519,6.364902,19.422293,29.661003,21.015116,12.761695,11.461759,12.202889,7.619421,42.072174
16.585735,18.24077,16.897181,17.927748,13.592483,30.920406,33.745152,24.78779,22.957787,34.282131,29.730473,32.336845,18.508984,17.624395,22.520454,5.815148,10.801454,17.116508,11.962266,15.726719,17.73074,6.056607,17.819962,6.381079,19.497036,29.770809,21.028601,12.795959,11.49132,12.182958,7.66604,42.174908
16.585859,18.347494,16.920124,17.922619,13.671835,30.940546,33.733334,24.764984,23.038229,34.395191,29.714161,32.362522,18.614168,17.627737,22.542,5.84203,10.823368,17.185146,11.964936,15.736293,17.701685,6.038615,17.906078,6.393754,19.572876,29.880688,21.041849,12.832423,11.52099,12.166376,7.704377,42.27673
16.588062,18.455124,16.942297,17.913347,13.756315,30.959734,33.724216,24.749205,23.12388,34.510448,29.698723,32.38559,18.718178,17.635899,22.566076,5.873613,10.847175,17.258387,11.966694,15.747975,17.677141,6.020531,17.993181,6.403555,19.649765,29.990862,21.054899,12.871137,11.550756,12.152916,7.73545,42.377632
16.592485,18.56344,16.963898,17.90049,13.845958,30.977594,33.717957,24.740271,23.214354,34.627552,29.683924,32.405659,18.820766,17.648523,22.592474,5.909586,10.873161,17.335882,11.96713,15.761947,17.656271,6.003155,18.080587,6.411071,19.727736,30.101574,21.067783,12.912158,11.580596,12.142273,7.760298,42.477478
16.599205,18.672272,16.985142,17.884668,13.940785,30.993767,33.714581,24.73777,23.309105,34.746204,29.669388,32.422443,18.921682,17.665152,22.621105,5.949528,10.901406,17.417225,11.965853,15.778363,17.63826,5.987158,18.167656,6.416835,19.806898,30.213064,21.080542,12.955553,11.610473,12.134097,7.779915,42.576012
16.608236,18.781487,17.006239,17.866539,14.040798,31.007914,33.714001,24.741102,23.407448,34.866173,29.654627,32.435749,19.02067,17.685251,22.652014,5.992941,10.931822,17.501951,11.962524,15.797364,17.622343,5.973067,18.253819,6.421318,19.887449,30.325573,21.093214,13.001388,11.640332,12.128011,7.795214,42.672928
16.619528,18.890982,17.027369,17.846764,14.145973,31.019739,33.716034,24.749544,23.508589,34.987282,29.639114,32.445484,19.117458,17.70825,22.685366,6.03929,10.964196,17.589565,11.956879,15.819078,17.607817,5.96126,18.338596,6.424925,19.969662,30.439323,21.105844,13.049718,11.670102,12.123629,7.806993,42.767864
16.632969,19.000679,17.048685,17.825983,14.256246,31.028984,33.720448,24.762339,23.611656,35.109383,29.622332,32.451641,19.211777,17.733555,22.721428,6.088034,10.998234,17.679552,11.94874,15.84363,17.594049,5.951982,18.421625,6.427995,20.053865,30.55452,21.118469,13.100583,11.699695,12.12057,7.815914,42.860439
16.648396,19.110521,17.070293,17.804777,14.371512,31.035442,33.726955,24.778797,23.715755,35.232357,29.603834,32.454285,19.303354,17.760582,22.76053,6.138659,11.033594,17.771391,11.93803,15.871145,17.580488,5.945353,18.502653,6.430802,20.14043,30.671347,21.131124,13.153998,11.72901,12.118466,7.822495,42.950249
16.665613,19.220455,17.092257,17.783651,14.491623,31.038954,33.735283,24.798386,23.820013,35.356064,29.58329,32.45356,19.391928,17.788776,22.803017,6.190694,11.069922,17.864553,11.924764,15.901756,17.56665,5.941388,18.58156,6.433558,20.229757,30.789953,21.143839,13.209948,11.75794,12.11697,7.827119,43.036869
16.684397,19.330448,17.114584,17.763014,14.616377,31.039417,33.745148,24.820808,23.923611,35.480324,29.560503,32.449661,19.477264,17.817625,22.849218,6.243727,11.10688,17.958521,11.909037,15.935599,17.552132,5.940012,18.658346,6.436411,20.322269,30.91046,21.156628,13.268377,11.786378,12.115757,7.830046,43.119884
16.704508,19.440487,17.137224,17.743158,14.745525,31.036776,33.756302,24.846039,24.025818,35.604904,29.535421,32.442844,19.55916,17.846661,22.899412,6.297414,11.144163,18.052782,11.891008,15.972814,17.536594,5.941069,18.733141,6.43945,20.418423,31.03294,21.1695,13.329192,11.81421,12.114532,7.831442,43.198887
16.725712,19.550583,17.160065,17.72426,14.87878,31.031025,33.768524,24.874289,24.126007,35.7295,29.508135,32.433411,19.637447,17.875469,22.953825,6.351484,11.181522,18.146835,11.870872,16.013538,17.519775,5.944342,18.806175,6.442702,20.518705,31.157434,21.182451,13.392258,11.841327,12.113029,7.831423,43.273521
16.747786,19.660774,17.18292,17.706396,15.015817,31.022215,33.781631,24.905947,24.223665,35.853745,29.478863,32.421692,19.711992,17.903692,23.012602,6.405743,11.218775,18.240194,11.848832,16.057903,17.501499,5.949552,18.877779,6.44614,20.623644,31.283947,21.195465,13.457396,11.867621,12.111023,7.830087,43.343487
16.770529,19.771135,17.205542,17.689547,15.156289,31.010437,33.79549,24.941462,24.318384,35.977253,29.447937,32.408043,19.782686,17.931019,23.075806,6.460074,11.255805,18.332384,11.825083,16.10603,17.481693,5.956371,18.948341,6.449684,20.733812,31.412466,21.208502,13.524392,11.892997,12.108331,7.827549,43.408581
16.793774,19.881767,17.227623,17.673632,15.299841,30.995825,33.810001,24.981236,24.409863,36.099655,29.415775,32.392826,19.849443,17.957184,23.143393,6.514441,11.292572,18.422968,11.799797,16.158022,17.460419,5.964428,19.018286,6.45321,20.849812,31.542971,21.221508,13.592998,11.917366,12.104817,7.823957,43.468712
16.817383,19.992794,17.248821,17.658533,15.446111,30.978546,33.825104,25.025536,24.49789,36.220657,29.38286,32.376404,19.912197,17.981976,23.21521,6.568878,11.3291,18.511543,11.773129,16.213978,17.437885,5.973317,19.088043,6.456567,20.97226,31.675451,21.234409,13.662936,11.940666,12.100405,7.819507,43.523895
