"X231_hop_R_01.c3d.11","X238_hop_R_01.c3d.11","X250_hop_R_01.c3d.11","X253_hop_R_01.c3d.11","X263_Hop_L_01.c3d.11","X278_hop_R_01.c3d.11","X281_hop_R_01.c3d.11","X283_Hop_L_01.c3d.11","X285_Hop_R_01.c3d.11","X286_hop_L_01.c3d.11","X300_hop_R_01.c3d.11","X302_hop_L_01.c3d.11","X305_hop_R_01.c3d.11","X306_hop_L_01.c3d.11","X309_hop_L_01.c3d.11","X310_hop_R_01.c3d.11","X312_hop_R_01.c3d.11","X318_hop_R_01.c3d.11","X321_hop_R_01.c3d.11","X326_hop_L_01.c3d.11","X328_hop_R_01.c3d.11","X337_hop_R_01.c3d.11","X340_hop_L_01.c3d.11","X341_hop_R_01.c3d.11","X342_hop_L_01.c3d.11","X343_Hop_L_01.c3d.11","X346_Hop_R_01.c3d.11","X354_hop_R_01.c3d.11","X361_hop_R_01.c3d.11","X368_hop_R_01.c3d.11","X399_hop_R_01.c3d.11","X402_hop_R_01.c3d.11"
16.641891,17.213333,16.583834,17.682316,13.028842,30.723555,33.945389,25.342237,22.388117,33.285213,29.905975,32.03965,17.353456,17.867287,22.513657,5.784822,10.465892,16.655336,11.93972,15.694637,18.441328,6.047672,17.079962,5.938784,18.761261,28.571062,20.863331,12.525599,11.174155,12.550681,6.649862,40.933807
16.633018,17.456881,16.676275,17.756447,13.095552,30.750423,33.890762,25.226681,22.498316,33.425945,29.883736,32.106743,17.553591,17.768064,22.474442,5.769111,10.555137,16.71043,11.942274,15.698748,18.191093,6.097302,17.236227,6.111778,18.818962,28.779215,20.912008,12.559987,11.230569,12.471514,7.016133,41.175068
16.620953,17.731419,16.766592,17.824986,13.17519,30.782028,33.831982,25.10869,22.636019,33.585361,29.855431,32.189137,17.761808,17.683096,22.462015,5.755985,10.633536,16.772486,11.94705,15.70276,17.968536,6.113597,17.426767,6.253166,18.878696,28.997908,20.958244,12.59962,11.287364,12.391283,7.334553,41.416214
16.607658,18.031168,16.848328,17.879206,13.270806,30.81819,33.775654,24.995874,22.813236,33.763744,29.821442,32.279743,17.974453,17.632977,22.486189,5.752483,10.69435,16.847647,11.955721,15.713067,17.805614,6.088689,17.653421,6.344584,18.940367,29.219589,21.001366,12.645787,11.344838,12.316911,7.563585,41.64576
16.595585,18.347494,16.920124,17.914169,13.384735,30.858034,33.733334,24.896286,23.038229,33.96006,29.784342,32.362522,18.188917,17.627737,22.542,5.763755,10.740671,16.940296,11.964936,15.736293,17.701685,6.038615,17.906078,6.393754,19.00395,29.440893,21.041849,12.699601,11.403008,12.25322,7.704377,41.863029
16.587492,18.672272,16.985142,17.928263,13.518215,30.899696,33.714581,24.817541,23.309105,34.171642,29.747711,32.422443,18.402876,17.665152,22.621105,5.793144,10.780912,17.052734,11.965853,15.778363,17.63826,5.987158,18.167656,6.416835,19.069424,29.661003,21.080542,12.761695,11.461759,12.202889,7.779915,42.072174
16.585859,19.000679,17.048685,17.922619,13.671835,30.940546,33.720448,24.764984,23.611656,34.395191,29.714161,32.451641,18.614168,17.733555,22.721428,5.84203,10.823368,17.185146,11.94874,15.84363,17.594049,5.951982,18.421625,6.427995,19.136744,29.880688,21.118469,12.832423,11.52099,12.166376,7.815914,42.27673
16.592485,19.330448,17.114584,17.90049,13.845958,30.977594,33.745148,24.740271,23.923611,34.627552,29.683924,32.449661,18.820766,17.817625,22.849218,5.909586,10.873161,17.335882,11.909037,15.935599,17.552132,5.940012,18.658346,6.436411,19.205822,30.101574,21.156628,12.912158,11.580596,12.142273,7.830046,42.477478
16.608236,19.660774,17.18292,17.866539,14.040798,31.007914,33.781631,24.741102,24.223665,34.866173,29.654627,32.421692,19.02067,17.903692,23.012602,5.992941,10.931822,17.501951,11.848832,16.057903,17.501499,5.949552,18.877779,6.44614,19.276539,30.325573,21.195465,13.001388,11.640332,12.128011,7.830087,42.672928
16.632969,19.992794,17.248821,17.825983,14.256246,31.028984,33.825104,24.762339,24.49789,35.109383,29.622332,32.376404,19.211777,17.981976,23.21521,6.088034,10.998234,17.679552,11.773129,16.213978,17.437885,5.973317,19.088043,6.456567,19.348747,30.55452,21.234409,13.100583,11.699695,12.12057,7.819507,42.860439
16.665613,20.32958,17.303358,17.783651,14.491623,31.038954,33.87368,24.798386,24.740543,35.356064,29.58329,32.32325,19.391928,18.0466,23.452848,6.190694,11.069922,17.864553,11.686288,16.406569,17.366978,6.00063,19.29987,6.463993,19.422293,30.789953,21.271381,13.209948,11.75794,12.11697,7.803413,43.036869
16.704508,20.674078,17.33699,17.743158,14.745525,31.036776,33.927078,24.846039,24.952803,35.604904,29.535421,32.270138,19.55916,18.095757,23.714388,6.297414,11.144163,18.052782,11.593051,16.638876,17.30345,6.020384,19.519405,6.464743,19.497036,31.03294,21.302649,13.329192,11.81421,12.114532,7.788597,43.198887
16.747786,21.026638,17.343475,17.706396,15.015817,31.022215,33.985012,24.905947,25.140881,35.853745,29.478863,32.222099,19.711992,18.132404,23.98822,6.405743,11.218775,18.240194,11.501525,16.915815,17.261209,6.025019,19.744123,6.457538,19.572876,31.283947,21.323557,13.457396,11.867621,12.111023,7.780893,43.343487
16.793774,21.384706,17.323103,17.673632,15.299841,30.995825,34.046032,24.981236,25.312378,36.099655,29.415775,32.180878,19.849443,18.163647,24.268433,6.514441,11.292572,18.422968,11.424149,17.242754,17.245319,6.013142,19.968168,6.443453,19.649765,31.542971,21.330128,13.592998,11.917366,12.104817,7.784589,43.468712
